dataMode,id,address,neighborhood,type,listDate,pendingDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning
PUBLIC_PROXY,3346481,"5508 11TH AVE NW, Seattle 98107",2,11,2025-09-08,2025-09-08,1172000,1255100,1172000,2,1.00,1200,1928,98107,SEATTLE,82,2,3650,NC2-55 (M2)
PUBLIC_PROXY,3356645,"5201 SAND POINT PL NE, Seattle 98105",9,10,2025-11-17,2025-11-17,1156000,1400000,1156000,3,3.00,2000,2025,98105,SEATTLE,46,9,1447,LR1 (M)
PUBLIC_PROXY,3364244,"2915 RAINER AVE S #316, Seattle 98144",5,11,2026-01-27,2026-01-27,1071000,1316000,1071000,4,2.50,2030,1965,98144,SEATTLE,11,5,4800,NR2
PUBLIC_PROXY,3361426,"12819 SE 38TH ST PMB 11, Seattle 98006",3,11,2025-12-30,2025-12-30,804000,1100000,804000,2,1.00,820,1917,98006,SEATTLE,42,3,5000,NR3
PUBLIC_PROXY,3343477,"5807 3RD AVE NW, Seattle 98107",2,11,2025-08-09,2025-08-09,1121000,1250000,1121000,4,2.00,2540,1926,98107,SEATTLE,82,2,4700,NR3
PUBLIC_PROXY,3359768,"5515 60TH AVE NE, Seattle 98105",2,11,2025-12-17,2025-12-17,1273000,1100000,1273000,3,1.00,1110,1907,98105,SEATTLE,82,2,5000,LR1 (M1)
PUBLIC_PROXY,3345213,"19628 109TH PL NE, Seattle 98011",7,11,2025-08-25,2025-08-25,1029000,1345000,1029000,6,3.00,2660,1909,98011,SEATTLE,43,7,3600,LR3 (M)
PUBLIC_PROXY,3346732,"920 5TH AVENUE SUITE 1510, Seattle 98104",11,12,2025-09-09,2025-09-09,1195000,1200000,1195000,3,2.00,1930,1909,98104,SEATTLE,42,11,5270,LR1 (M)
PUBLIC_PROXY,3348135,"529 CLANCE WAY, Seattle 59718",5,11,2025-09-17,2025-09-17,1262000,1153900,1262000,3,2.50,1640,2024,59718,SEATTLE,12,5,839,LR3 (M)
PUBLIC_PROXY,3360681,"7014 14TH AVE NW, Seattle 98117",4,2,2025-12-18,2025-12-18,2662000,1348000,2662000,3,3.25,1710,2025,98117,SEATTLE,13,4,4000,NR3
PUBLIC_PROXY,3352807,"4837 41ST AVE SW, Seattle 98166",98166,3,2025-10-23,2025-10-23,1090000,1125000,1090000,3,1.75,1850,1958,98166,Seattle,,,0,
PUBLIC_PROXY,3352807,"4837 41ST AVE SW, Seattle 98166",98166,3,2025-10-23,2025-10-23,20000,1125000,20000,0,0.00,0,0,98166,Seattle,,,0,
PUBLIC_PROXY,3347563,"3046 NE BLAKELEY ST, Seattle 98105",2,11,2025-09-15,2025-09-15,1245000,1100000,1245000,4,3.00,2290,1995,98105,SEATTLE,44,2,3600,NR3
PUBLIC_PROXY,3359095,"4507 45TH AVE SW, Seattle 98116",9,11,2025-12-11,2025-12-11,958000,1185000,958000,3,2.25,1780,1941,98116,SEATTLE,48,9,5850,LR2 (M)
PUBLIC_PROXY,3354653,"444 26TH AVE E, Seattle 98112",4,11,2025-11-06,2025-11-06,1296000,1325000,1296000,3,3.00,2570,1998,98112,SEATTLE,13,4,2500,NR3
PUBLIC_PROXY,3353670,"2738 NW 90TH STREET, Seattle 98117",6,11,2025-10-28,2025-10-28,1126000,1300000,1126000,3,2.25,1970,1976,98117,SEATTLE,39,6,9785,NR2
PUBLIC_PROXY,3354084,"1813 12TH AVE W, Seattle 98119",9,11,2025-10-28,2025-10-28,1413000,1310000,1413000,4,3.50,2580,2017,98119,SEATTLE,12,9,1956,LR1 (M)
PUBLIC_PROXY,3358892,"3610 FRANCIS AVE N, Seattle 98103",11,14,2025-12-09,2025-12-09,1028000,1175000,1028000,4,2.50,1760,2024,98103,SEATTLE,42,11,759,LR3 (M)
PUBLIC_PROXY,3358432,"P.O. BOX 2208, Seattle 98036",2,11,2025-12-05,2025-12-05,1178000,1400000,1178000,2,2.00,1410,1906,98036,SEATTLE,12,2,5400,NR3
PUBLIC_PROXY,3348412,"10404 JOVITA BLVD E, Seattle 98372",9,2,2025-09-22,2025-09-22,2915000,1175000,2915000,3,1.75,1400,2025,98372,SEATTLE,39,9,5072,NR3
PUBLIC_PROXY,3348833,"3222 39TH AVE SW, Seattle 98116",6,3,2025-09-24,2025-09-24,1189000,1395000,1189000,3,3.25,2090,1917,98116,SEATTLE,48,6,5000,NR3
PUBLIC_PROXY,3357682,"2650 PERKINS LANE W, Seattle 98199",5,3,2025-12-01,2025-12-01,1231000,1272500,1231000,2,1.75,1610,1940,98199,SEATTLE,11,5,11021,NR2
PUBLIC_PROXY,3345368,"501 N 101ST STREET, Seattle 98133",6,11,2025-08-28,2025-08-28,1133000,1162500,1133000,4,3.50,2680,2008,98133,SEATTLE,6,6,3844,NR3
PUBLIC_PROXY,3347019,"11774  177TH PLACE NORTHEAST, Seattle 98052",9,11,2025-09-10,2025-09-10,1701000,1400000,1701000,4,2.00,2380,2015,98052,SEATTLE,43,9,4944,NR3
PUBLIC_PROXY,3354574,"8026 39TH AVE NE, Seattle 98115",6,11,2025-10-28,2025-10-28,965000,1225000,965000,4,1.50,1910,1945,98115,SEATTLE,45,6,6000,NR3
PUBLIC_PROXY,3361429,"13544 137TH PL NE, Seattle 98034",9,12,2025-12-23,2025-12-23,1258000,1295000,1258000,5,3.00,3160,1965,98034,SEATTLE,12,9,4200,LR2 (M)
PUBLIC_PROXY,3351799,"1730 TAYLOR AVE N UNIT 502, Seattle 98109",98109,3,2025-10-06,2025-10-06,1110000,1120000,1110000,0,0.00,0,0,98109,Seattle,,,0,
PUBLIC_PROXY,3351799,"1730 TAYLOR AVE N UNIT 502, Seattle 98109",98109,3,2025-10-06,2025-10-06,137800,1120000,137800,0,0.00,0,0,98109,Seattle,,,0,
PUBLIC_PROXY,3348894,"7333 25TH AVE NW, Seattle 98117",98117,14,2025-09-22,2025-09-22,1170000,1240000,1170000,0,0.00,0,0,98117,Seattle,,,0,
PUBLIC_PROXY,3345842,"4119 NE 142ND ST, Seattle 98125",3,11,2025-08-29,2025-08-29,1124000,1125000,1124000,3,2.00,2260,1977,98125,SEATTLE,8,3,15104,NR1
PUBLIC_PROXY,3349426,"3630 49TH AVE NE, Seattle 98105",11,2,2025-09-29,2025-09-29,869000,1185000,869000,4,1.50,1170,1926,98105,SEATTLE,82,11,5600,NR3
PUBLIC_PROXY,3354196,"2014 FAIRWAY AVENUE UNIT 2606, Seattle 98121",2,11,2025-10-31,2025-10-31,887000,1120000,887000,3,2.00,1520,1930,98121,SEATTLE,82,2,3240,NR3
PUBLIC_PROXY,3343614,"202 S JACKSON ST #5701, Seattle 98105",98105,1,2025-08-13,2025-08-13,20800,1254000,20800,0,0.00,0,0,98105,Seattle,,,0,
PUBLIC_PROXY,3343614,"201 S JACKSON ST #5701, Seattle 98104",98104,1,2025-08-13,2025-08-13,1975000,1254000,1975000,0,0.00,0,0,98104,Seattle,,,0,
PUBLIC_PROXY,3349463,"3016 NW 72ND STREET, Seattle 98117",10,11,2025-09-24,2025-09-24,875000,1160000,875000,2,1.75,1800,1927,98117,SEATTLE,19,10,5100,NR3
